Date,Predicted_Deforested_Area_km2,Model,Data_Source,Model_RMSE,Assumed_Cloud_Coverage_Pct,Assumed_Valid_Pixels
2025-02-01,21.395814107142915,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2025-03-01,37.515452912554125,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2025-04-01,44.69371102424246,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2025-05-01,37.55174664544183,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2025-06-01,35.79884525972755,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2025-07-01,38.63407425972754,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2025-08-01,42.82808793115611,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2025-09-01,43.47315978472755,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2025-10-01,37.927557570441806,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2025-11-01,28.86623035714291,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2025-12-01,22.350431357142956,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2026-01-01,16.0563818571429,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2026-02-01,21.395814107142915,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2026-03-01,37.515452912554125,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2026-04-01,44.69371102424246,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2026-05-01,37.55174664544183,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2026-06-01,35.79884525972755,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2026-07-01,38.63407425972754,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2026-08-01,42.82808793115611,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2026-09-01,43.47315978472755,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2026-10-01,37.927557570441806,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2026-11-01,28.86623035714291,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2026-12-01,22.350431357142956,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2027-01-01,16.0563818571429,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2027-02-01,21.395814107142915,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2027-03-01,37.515452912554125,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2027-04-01,44.69371102424246,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2027-05-01,37.55174664544183,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2027-06-01,35.79884525972755,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2027-07-01,38.63407425972754,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2027-08-01,42.82808793115611,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2027-09-01,43.47315978472755,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2027-10-01,37.927557570441806,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2027-11-01,28.86623035714291,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2027-12-01,22.350431357142956,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2028-01-01,16.0563818571429,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2028-02-01,21.395814107142915,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2028-03-01,37.515452912554125,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2028-04-01,44.69371102424246,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2028-05-01,37.55174664544183,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2028-06-01,35.79884525972755,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2028-07-01,38.63407425972754,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
2028-08-01,42.82808793115611,Random Forest,Cloud-Masked Landsat Collection 2,20.215062493793265,26.443701684901843,3134557.518918919
