Model,MAE (km²),RMSE (km²),R²
Prophet,20.16019756618718,29.32014318130878,-0.10857288462111936
ARIMA,21.413950185877482,27.75541343002168,0.006592396951099366
SARIMA,18.324130871236317,25.670084257857006,0.15025881812665998
XGBoost,14.119625098609925,21.41631339531957,0.40854527584301326
Random Forest,13.646668311322838,20.215062493793265,0.47303441339868313
