Date,Year,Month,Deforested_Pixels,Deforested_Area_km2,Valid_Pixels,Cloud_Coverage
2018-09-29,2018,9,32910,29.619,3067116,28.026300968686645
2018-10-15,2018,10,21488,19.3392,3897470,8.54100961177442
2018-11-16,2018,11,16149,14.5341,4074412,4.388845085229409
2018-12-02,2018,12,15277,13.7493,3042742,28.59826725238417
2018-12-18,2018,12,1379,1.2411,2830488,33.57907186303222
2019-01-03,2019,1,7937,7.1433,3072049,27.91054197642111
2019-02-04,2019,2,10,0.009,2147922,49.596333633701285
2019-02-20,2019,2,13680,12.312,2920372,31.469831793947588
2019-03-08,2019,3,44541,40.0869,2983269,29.993875309754447
2019-03-24,2019,3,159778,143.8002,3871533,9.1496536382068
2019-04-09,2019,4,171105,153.9945,3566266,16.313124202147634
2019-04-25,2019,4,58469,52.6221,3492750,18.038268754223928
2019-05-11,2019,5,58363,52.5267,3983489,6.522466584065478
2019-05-27,2019,5,68998,62.0982,3807472,10.65292483292033
2019-06-28,2019,6,98140,88.326,3855345,9.529525230907865
2019-07-30,2019,7,127797,115.0173,3730569,12.457549560711866
2019-08-31,2019,8,82107,73.8963,2825237,33.70229312157392
2019-10-18,2019,10,23426,21.0834,3225318,24.313893895021398
2019-12-05,2019,12,3168,2.8512,2806493,34.14214443943832
2020-01-06,2020,1,17763,15.9867,2984265,29.970502928587518
2020-03-10,2020,3,92809,83.5281,3799853,10.831714162348883
2020-04-11,2020,4,102196,91.9764,3111446,26.986042276789068
2020-04-27,2020,4,103994,93.5946,3681880,13.600097619583995
2020-05-29,2020,5,9569,8.6121,2889705,32.18947116467673
2020-06-14,2020,6,41745,37.5705,3555902,16.55632837726214
2020-08-17,2020,8,47015,42.3135,3267971,23.312988097919952
2020-10-04,2020,10,20492,18.4428,2858672,32.91769918149734
2020-10-20,2020,10,94618,85.1562,3257553,23.557459450326647
2020-11-21,2020,11,1026,0.9234,2244675,47.32590391980176
2020-12-07,2020,12,28698,25.8282,3442298,19.222187805061196
2020-12-23,2020,12,1398,1.2582,2238192,47.478035593602165
2021-01-08,2021,1,3471,3.1239,2815039,33.94160189982729
2021-01-24,2021,1,8887,7.9983,3492469,18.044862769392513
2021-02-09,2021,2,4307,3.8763,2453138,42.434059848314185
2021-02-25,2021,2,31031,27.9279,3594582,15.648653976120752
2021-03-13,2021,3,32833,29.5497,3006607,29.446220057069915
2021-03-29,2021,3,90103,81.0927,4082348,4.2026169557708215
2021-04-14,2021,4,49943,44.9487,3127884,26.60030412255012
2021-05-16,2021,5,2441,2.1969,2288462,46.29838739956447
2021-06-01,2021,6,16503,14.8527,3629046,14.839913268754223
2021-06-17,2021,6,1054,0.9486,2350018,44.85389915146054
2021-07-19,2021,7,9436,8.4924,2862528,32.82721333633701
2021-08-04,2021,8,10729,9.6561,2900832,31.928362243748587
2021-08-20,2021,8,93976,84.5784,3662811,14.047575467447626
2021-09-05,2021,9,42419,38.1771,2456960,42.34437185552301
2021-09-21,2021,9,112716,101.4444,3238313,24.008950026282193
2021-10-07,2021,10,50141,45.1269,2952114,30.724966208605544
2021-10-23,2021,10,37570,33.813,4031519,5.395382781407221
2021-12-10,2021,12,10429,9.3861,2549502,40.172758504167604
2021-12-18,2021,12,14178,12.7602,2833111,33.51751989937674
2021-12-26,2021,12,9522,8.5698,3225358,24.31295524517534
2022-01-11,2022,1,1269,1.1421,2154342,49.445680333408426
2022-01-19,2022,1,3845,3.4605,2743584,35.618382518585264
2022-02-04,2022,2,13884,12.4956,4255975,0.12824303521814517
2022-02-20,2022,2,23977,21.5793,3243683,23.88293628444845
2022-02-28,2022,2,19611,17.6499,2905939,31.808520124652695
2022-03-08,2022,3,6989,6.2901,2402899,43.612980588721186
2022-03-24,2022,3,26788,24.1092,2916947,31.550203687016598
2022-04-01,2022,4,65699,59.1291,3095592,27.35807614327551
2022-04-09,2022,4,27528,24.7752,3938646,7.5747634602387865
2022-04-17,2022,4,34507,31.0563,3771506,11.496911842006464
2022-05-27,2022,5,30646,27.5814,3365465,21.025169895622142
2022-06-04,2022,6,836,0.7524,2165309,49.18832601186453
2022-07-14,2022,7,24594,22.1346,2635657,38.15102406698205
2022-07-30,2022,7,807,0.7263,2294355,46.16010081099346
2022-08-15,2022,8,21783,19.6047,3711359,12.908336149282873
2022-09-16,2022,9,58689,52.8201,3831252,10.094897499436806
2022-09-24,2022,9,29206,26.2854,3346508,21.470019523916793
2022-10-02,2022,10,34474,31.0266,3144568,26.2087932717579
2022-10-10,2022,10,10237,9.2133,2775746,34.86366110985958
2022-10-26,2022,10,3638,3.2742,2512062,41.051334760081104
2022-11-03,2022,11,4450,4.005,2707694,36.46058609296388
2022-11-11,2022,11,4915,4.4235,2308158,45.83619621536382
2022-11-27,2022,11,27024,24.3216,3868037,9.23169163475257
2022-12-05,2022,12,1796,1.6164,2325195,45.43640177968011
2022-12-13,2022,12,15089,13.5801,4002363,6.079564654201397
2023-01-14,2023,1,1283,1.1547,2329552,45.33415934519787
2023-02-15,2023,2,17299,15.5691,3451031,19.017257077419835
2023-02-23,2023,2,18333,16.4997,3197571,24.96501182698806
2023-03-03,2023,3,2067,1.8603,2331071,45.298514117293685
2023-03-19,2023,3,28787,25.9083,3528412,17.201415483967864
2023-03-27,2023,3,41076,36.9684,3283928,22.9385372080799
2023-04-04,2023,4,47719,42.9471,3394619,20.341034955320268
2023-04-12,2023,4,58782,52.9038,3950041,7.3073655853420405
2023-04-20,2023,4,34855,31.3695,3269535,23.276286888938948
2023-04-28,2023,4,5098,4.5882,2904355,31.845690658556734
2023-05-22,2023,5,30239,27.2151,4069723,4.498878313433952
2023-05-30,2023,5,16052,14.4468,4134726,2.9735019148456887
2023-06-07,2023,6,20597,18.5373,3363642,21.06794886235639
2023-06-15,2023,6,12117,10.9053,3762669,11.704283059247578
2023-06-23,2023,6,8317,7.4853,3025666,28.998976871667793
2023-07-09,2023,7,22003,19.8027,2774594,34.890694225426145
2023-07-17,2023,7,2902,2.6118,2168228,49.1198280393482
2023-08-02,2023,8,3243,2.9187,2260436,46.956052414207406
2023-08-18,2023,8,3979,3.5811,2133481,49.935209694375615
2023-08-26,2023,8,135212,121.6908,3886720,8.793271757903431
2023-09-19,2023,9,48045,43.2405,2564620,39.81799579484869
2023-10-29,2023,10,33145,29.8305,3674375,13.776211796951266
2023-11-06,2023,11,18586,16.7274,3017805,29.183445032665013
2023-11-30,2023,11,9033,8.1297,2506882,41.17288991514605
2024-01-17,2024,1,11169,10.0521,2740265,35.69626698956221
2024-02-02,2024,2,6499,5.8491,3954192,7.209957197567018
2024-02-10,2024,2,4215,3.7935,2524402,40.76176128257115
2024-02-18,2024,2,11609,10.4481,3567493,16.2843311181197
2024-02-26,2024,2,9166,8.2494,2338846,45.1160640534655
2024-03-05,2024,3,59657,53.6913,3487567,18.159894308027337
2024-03-13,2024,3,138699,124.8291,4259333,0.049443380641289725
2024-03-29,2024,3,101247,91.1223,3977106,6.6722516332507364
2024-04-06,2024,4,65139,58.6251,3031536,28.861230006758277
2024-04-14,2024,4,27331,24.5979,2805021,34.176686753773375
2024-04-22,2024,4,20958,18.8622,2909991,31.71343489524667
2024-04-30,2024,4,35576,32.0184,3505155,17.747169970714125
2024-05-08,2024,5,11850,10.665,2874754,32.54031501088834
2024-06-17,2024,6,18090,16.281,3546006,16.788550349177743
2024-07-03,2024,7,9924,8.9316,3650135,14.345033603664492
2024-07-11,2024,7,22990,20.691,3321432,22.05845911241271
2024-07-19,2024,7,650,0.585,2477043,41.873099234061726
2024-07-27,2024,7,8934,8.0406,2549808,40.16557783284524
2024-08-04,2024,8,56111,50.4999,3962365,7.018167567770517
2024-08-12,2024,8,69990,62.991,3866712,9.262784410903357
2024-08-20,2024,8,10253,9.2277,2701379,36.60877543741082
2024-08-28,2024,8,27197,24.4773,2826529,33.671974731546136
2024-09-13,2024,9,65314,58.7826,3443082,19.203790268078393
2024-09-21,2024,9,18169,16.3521,2285726,46.362591049035075
2024-09-29,2024,9,48533,43.6797,2942679,30.946370241045283
2024-10-31,2024,10,31727,28.5543,3739756,12.241965157317713
2024-11-08,2024,11,97,0.0873,2168404,49.11569798002553
2024-11-16,2024,11,31272,28.1448,3456232,18.8952091311857
2024-12-02,2024,12,9003,8.1027,3469903,18.57440208004806
2024-12-10,2024,12,3996,3.5964,2296776,46.103289029060605
2024-12-18,2024,12,2579,2.3211,2449868,42.51079447322971
2024-12-26,2024,12,12496,11.2464,3810596,10.579616279942927
